iter	Passed	Remaining
471	654	732
472	655	730
473	656	728
474	657	726
475	658	724
476	658	722
477	659	720
478	660	718
479	661	716
480	662	714
481	663	712
482	663	710
483	664	708
484	665	706
485	666	704
486	667	702
487	667	700
488	668	698
489	669	696
490	670	694
491	671	692
492	671	690
493	672	688
494	673	687
495	674	685
496	675	683
497	675	681
498	676	679
499	677	677
500	678	675
501	678	673
502	679	671
503	680	669
504	681	668
505	682	666
506	683	664
507	683	662
508	684	660
509	685	658
510	686	656
511	687	655
512	688	653
513	689	651
514	689	649
515	690	647
516	691	645
517	692	644
518	693	642
519	693	640
520	694	638
521	695	636
522	695	634
523	696	632
524	697	631
525	698	629
526	699	627
527	699	625
528	700	623
529	701	621
530	702	620
531	702	618
532	703	616
533	704	614
534	705	612
535	706	611
536	706	609
537	707	607
538	708	605
539	709	604
540	709	602
541	710	600
542	711	598
543	712	596
544	713	595
545	713	593
546	714	591
547	715	589
548	715	588
549	716	586
550	717	584
551	718	583
552	719	581
553	719	579
554	720	577
555	721	576
556	722	574
557	723	572
558	723	571
559	724	569
560	725	567
561	726	565
562	726	564
563	727	562
564	728	560
565	729	559
566	729	557
567	730	555
568	731	554
569	732	552
570	732	550
571	733	549
572	734	547
573	735	545
574	736	544
575	736	542
576	737	540
577	738	539
578	739	537
579	739	535
580	740	534
581	741	532
582	742	530
583	742	529
584	743	527
585	744	525
586	745	524
587	746	522
588	746	521
589	747	519
590	748	517
591	749	516
592	749	514
593	750	513
594	751	511
595	752	510
596	753	508
597	753	506
598	754	505
599	755	503
600	756	502
601	757	500
602	757	499
603	758	497
604	759	495
605	760	494
606	761	492
607	761	491
608	762	489
609	763	487
610	763	486
611	764	484
612	765	483
613	766	481
614	767	480
615	767	478
616	768	477
617	769	475
618	770	473
619	770	472
620	771	470
621	772	469
622	773	467
623	773	466
624	774	464
625	775	463
626	776	461
627	776	460
628	777	458
629	778	457
630	779	455
631	779	454
632	780	452
633	781	451
634	781	449
635	782	447
636	783	446
637	784	444
638	784	443
639	785	441
640	786	440
641	787	438
642	787	437
643	788	435
644	789	434
645	790	432
646	790	431
647	791	429
648	792	428
649	792	426
650	793	425
651	794	423
652	795	422
653	795	421
654	796	419
655	797	418
656	798	416
657	798	415
658	799	413
659	800	412
660	800	410
661	801	409
662	802	407
663	803	406
664	803	404
665	804	403
666	805	402
667	806	400
668	806	399
669	807	397
670	808	396
671	809	394
672	812	394
673	814	394
674	817	393
675	820	393
676	823	392
677	826	392
678	829	392
679	832	391
680	834	391
681	838	390
682	841	390
683	843	389
684	846	389
685	850	389
686	853	388
687	856	388
688	859	387
689	862	387
690	865	387
691	868	386
692	872	386
693	875	385
694	878	385
695	882	385
696	885	385
697	888	384
698	891	383
699	894	383
700	898	383
701	901	382
702	904	381
703	907	381
704	910	381
705	912	380
706	915	379
707	918	378
708	921	378
709	924	377
710	928	377
711	931	376
712	934	376
713	937	375
714	940	375
715	943	374
716	946	373
717	949	372
718	951	371
719	953	370
720	955	369
721	957	368
722	958	367
723	960	366
724	961	364
725	963	363
726	964	362
727	966	360
728	967	359
729	969	358
730	970	357
731	972	355
732	973	354
733	974	353
734	975	351
735	976	350
736	977	348
737	978	347
738	978	345
739	979	344
740	980	342
741	981	341
742	982	339
743	982	338
744	983	336
745	984	335
746	984	333
747	985	332
748	986	330
749	987	329
750	987	327
751	988	325
752	989	324
753	990	323
754	990	321
755	991	319
756	992	318
757	992	316
758	993	315
759	994	313
760	995	312
761	995	311
762	996	309
763	997	308
764	998	306
765	998	305
766	999	303
767	1000	302
768	1000	300
769	1001	299
770	1002	297
771	1003	296
772	1003	294
773	1004	293
774	1005	291
775	1006	290
776	1006	288
777	1007	287
778	1008	286
779	1009	284
780	1009	283
781	1010	281
782	1011	280
783	1012	278
784	1012	277
785	1013	275
786	1014	274
787	1014	273
788	1015	271
789	1016	270
790	1017	268
791	1017	267
792	1018	265
793	1019	264
794	1020	263
795	1020	261
796	1021	260
797	1022	258
798	1022	257
799	1023	255
800	1024	254
801	1025	253
802	1026	251
803	1026	250
804	1027	248
805	1028	247
806	1029	246
807	1029	244
808	1030	243
809	1031	241
810	1031	240
811	1032	239
812	1033	237
813	1034	236
814	1035	235
815	1036	233
816	1037	232
817	1037	230
818	1038	229
819	1039	228
820	1040	226
821	1040	225
822	1041	224
